UUID;Jahr;Wahlkreis-Nr;Gebiet;Bundesland;Kategorie;Parteiname;Erst-Stimmen
2017-07294;2017;148;Siegen-Wittgenstein;BL-05;Organisation;Freie Demokratische Partei;11742
2017-07291;2017;148;Siegen-Wittgenstein;BL-05;Organisation;DIE LINKE;9554
2017-07293;2017;148;Siegen-Wittgenstein;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07289;2017;148;Siegen-Wittgenstein;BL-05;Organisation;Christlich Demokratische Union Deutschlands;64484
2017-07292;2017;148;Siegen-Wittgenstein;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;6885
2017-07295;2017;148;Siegen-Wittgenstein;BL-05;Organisation;Alternative für Deutschland;15728
2017-07337;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;39699
2017-07341;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;Freie Demokratische Partei;13230
2017-07338;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;DIE LINKE;7197
2017-07340;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07336;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;Christlich Demokratische Union Deutschlands;72158
2017-07339;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;5170
2017-07342;2017;149;Olpe – Märkischer Kreis I;BL-05;Organisation;Alternative für Deutschland;13306
2017-07384;2017;150;Märkischer Kreis II;BL-05;Organisation;Sozialdemokratische Partei Deutschlands;54890
2017-07388;2017;150;Märkischer Kreis II;BL-05;Organisation;Freie Demokratische Partei;15221
2017-07385;2017;150;Märkischer Kreis II;BL-05;Organisation;DIE LINKE;11113
2017-07387;2017;150;Märkischer Kreis II;BL-05;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07383;2017;150;Märkischer Kreis II;BL-05;Organisation;Christlich Demokratische Union Deutschlands;53714
2017-07386;2017;150;Märkischer Kreis II;BL-05;Organisation;BÜNDNIS 90/DIE GRÜNEN;5356
2017-07389;2017;150;Märkischer Kreis II;BL-05;Organisation;Alternative für Deutschland;0
2017-07478;2017;151;Nordsachsen;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;16248
2017-07482;2017;151;Nordsachsen;BL-14;Organisation;Freie Demokratische Partei;7641
2017-07479;2017;151;Nordsachsen;BL-14;Organisation;DIE LINKE;20028
2017-07481;2017;151;Nordsachsen;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07477;2017;151;Nordsachsen;BL-14;Organisation;Christlich Demokratische Union Deutschlands;38207
2017-07480;2017;151;Nordsachsen;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;3070
2017-07483;2017;151;Nordsachsen;BL-14;Organisation;Alternative für Deutschland;31244
2017-07525;2017;152;Leipzig I;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;26330
2017-07529;2017;152;Leipzig I;BL-14;Organisation;Freie Demokratische Partei;9074
2017-07526;2017;152;Leipzig I;BL-14;Organisation;DIE LINKE;31132
2017-07528;2017;152;Leipzig I;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07524;2017;152;Leipzig I;BL-14;Organisation;Christlich Demokratische Union Deutschlands;43919
2017-07527;2017;152;Leipzig I;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;8735
2017-07530;2017;152;Leipzig I;BL-14;Organisation;Alternative für Deutschland;32702
2017-07572;2017;153;Leipzig II;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;23787
2017-07576;2017;153;Leipzig II;BL-14;Organisation;Freie Demokratische Partei;10052
2017-07573;2017;153;Leipzig II;BL-14;Organisation;DIE LINKE;43948
2017-07575;2017;153;Leipzig II;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07571;2017;153;Leipzig II;BL-14;Organisation;Christlich Demokratische Union Deutschlands;42778
2017-07574;2017;153;Leipzig II;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;17273
2017-07577;2017;153;Leipzig II;BL-14;Organisation;Alternative für Deutschland;25968
2017-07619;2017;154;Leipzig-Land;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;18221
2017-07623;2017;154;Leipzig-Land;BL-14;Organisation;Freie Demokratische Partei;10048
2017-07620;2017;154;Leipzig-Land;BL-14;Organisation;DIE LINKE;24801
2017-07622;2017;154;Leipzig-Land;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07618;2017;154;Leipzig-Land;BL-14;Organisation;Christlich Demokratische Union Deutschlands;54152
2017-07621;2017;154;Leipzig-Land;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;6219
2017-07624;2017;154;Leipzig-Land;BL-14;Organisation;Alternative für Deutschland;45563
2017-07666;2017;155;Meißen;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;13486
2017-07670;2017;155;Meißen;BL-14;Organisation;Freie Demokratische Partei;7991
2017-07667;2017;155;Meißen;BL-14;Organisation;DIE LINKE;19122
2017-07669;2017;155;Meißen;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07665;2017;155;Meißen;BL-14;Organisation;Christlich Demokratische Union Deutschlands;55326
2017-07668;2017;155;Meißen;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;5051
2017-07671;2017;155;Meißen;BL-14;Organisation;Alternative für Deutschland;46765
2017-07713;2017;156;Bautzen I;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;15836
2017-07717;2017;156;Bautzen I;BL-14;Organisation;Freie Demokratische Partei;9247
2017-07714;2017;156;Bautzen I;BL-14;Organisation;DIE LINKE;24221
2017-07716;2017;156;Bautzen I;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07712;2017;156;Bautzen I;BL-14;Organisation;Christlich Demokratische Union Deutschlands;48579
2017-07715;2017;156;Bautzen I;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;3247
2017-07718;2017;156;Bautzen I;BL-14;Organisation;Alternative für Deutschland;52770
2017-07760;2017;157;Görlitz;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;16801
2017-07764;2017;157;Görlitz;BL-14;Organisation;Freie Demokratische Partei;7661
2017-07761;2017;157;Görlitz;BL-14;Organisation;DIE LINKE;20853
2017-07763;2017;157;Görlitz;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07759;2017;157;Görlitz;BL-14;Organisation;Christlich Demokratische Union Deutschlands;48256
2017-07762;2017;157;Görlitz;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;4995
2017-07765;2017;157;Görlitz;BL-14;Organisation;Alternative für Deutschland;49834
2017-07807;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;11100
2017-07811;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;Freie Demokratische Partei;9933
2017-07808;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;DIE LINKE;22614
2017-07810;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07806;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;Christlich Demokratische Union Deutschlands;44354
2017-07809;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;4575
2017-07812;2017;158;Sächsische Schweiz-Osterzgebirge;BL-14;Organisation;Alternative für Deutschland;57554
2017-07854;2017;159;Dresden I;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;23906
2017-07858;2017;159;Dresden I;BL-14;Organisation;Freie Demokratische Partei;13590
2017-07855;2017;159;Dresden I;BL-14;Organisation;DIE LINKE;37936
2017-07857;2017;159;Dresden I;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07853;2017;159;Dresden I;BL-14;Organisation;Christlich Demokratische Union Deutschlands;44388
2017-07856;2017;159;Dresden I;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;11765
2017-07859;2017;159;Dresden I;BL-14;Organisation;Alternative für Deutschland;40380
2017-07901;2017;160;Dresden II – Bautzen II;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;20593
2017-07905;2017;160;Dresden II – Bautzen II;BL-14;Organisation;Freie Demokratische Partei;12843
2017-07902;2017;160;Dresden II – Bautzen II;BL-14;Organisation;DIE LINKE;32397
2017-07904;2017;160;Dresden II – Bautzen II;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07900;2017;160;Dresden II – Bautzen II;BL-14;Organisation;Christlich Demokratische Union Deutschlands;47185
2017-07903;2017;160;Dresden II – Bautzen II;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;15839
2017-07906;2017;160;Dresden II – Bautzen II;BL-14;Organisation;Alternative für Deutschland;41202
2017-07948;2017;161;Mittelsachsen;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;17782
2017-07952;2017;161;Mittelsachsen;BL-14;Organisation;Freie Demokratische Partei;8652
2017-07949;2017;161;Mittelsachsen;BL-14;Organisation;DIE LINKE;20785
2017-07951;2017;161;Mittelsachsen;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07947;2017;161;Mittelsachsen;BL-14;Organisation;Christlich Demokratische Union Deutschlands;48230
2017-07950;2017;161;Mittelsachsen;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;4626
2017-07953;2017;161;Mittelsachsen;BL-14;Organisation;Alternative für Deutschland;46827
2017-07995;2017;162;Chemnitz;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;22413
2017-07999;2017;162;Chemnitz;BL-14;Organisation;Freie Demokratische Partei;9535
2017-07996;2017;162;Chemnitz;BL-14;Organisation;DIE LINKE;28213
2017-07998;2017;162;Chemnitz;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-07994;2017;162;Chemnitz;BL-14;Organisation;Christlich Demokratische Union Deutschlands;38653
2017-07997;2017;162;Chemnitz;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;6157
2017-08000;2017;162;Chemnitz;BL-14;Organisation;Alternative für Deutschland;34958
2017-08042;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;14142
2017-08046;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;Freie Demokratische Partei;10345
2017-08043;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;DIE LINKE;23174
2017-08045;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08041;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;Christlich Demokratische Union Deutschlands;48012
2017-08044;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;4609
2017-08047;2017;163;Chemnitzer Umland – Erzgebirgskreis II;BL-14;Organisation;Alternative für Deutschland;36388
2017-08089;2017;164;Erzgebirgskreis I;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;14707
2017-08093;2017;164;Erzgebirgskreis I;BL-14;Organisation;Freie Demokratische Partei;11820
2017-08090;2017;164;Erzgebirgskreis I;BL-14;Organisation;DIE LINKE;24808
2017-08092;2017;164;Erzgebirgskreis I;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08088;2017;164;Erzgebirgskreis I;BL-14;Organisation;Christlich Demokratische Union Deutschlands;56716
2017-08091;2017;164;Erzgebirgskreis I;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;4334
2017-08094;2017;164;Erzgebirgskreis I;BL-14;Organisation;Alternative für Deutschland;49465
2017-08136;2017;165;Zwickau;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;18219
2017-08140;2017;165;Zwickau;BL-14;Organisation;Freie Demokratische Partei;19181
2017-08137;2017;165;Zwickau;BL-14;Organisation;DIE LINKE;36881
2017-08139;2017;165;Zwickau;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08135;2017;165;Zwickau;BL-14;Organisation;Christlich Demokratische Union Deutschlands;48347
2017-08138;2017;165;Zwickau;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;6513
2017-08141;2017;165;Zwickau;BL-14;Organisation;Alternative für Deutschland;0
2017-08183;2017;166;Vogtlandkreis;BL-14;Organisation;Sozialdemokratische Partei Deutschlands;15538
2017-08187;2017;166;Vogtlandkreis;BL-14;Organisation;Freie Demokratische Partei;7836
2017-08184;2017;166;Vogtlandkreis;BL-14;Organisation;DIE LINKE;21809
2017-08186;2017;166;Vogtlandkreis;BL-14;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08182;2017;166;Vogtlandkreis;BL-14;Organisation;Christlich Demokratische Union Deutschlands;49104
2017-08185;2017;166;Vogtlandkreis;BL-14;Organisation;BÜNDNIS 90/DIE GRÜNEN;5292
2017-08188;2017;166;Vogtlandkreis;BL-14;Organisation;Alternative für Deutschland;36428
2017-08277;2017;167;Waldeck;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;49341
2017-08281;2017;167;Waldeck;BL-06;Organisation;Freie Demokratische Partei;9930
2017-08278;2017;167;Waldeck;BL-06;Organisation;DIE LINKE;8600
2017-08280;2017;167;Waldeck;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08276;2017;167;Waldeck;BL-06;Organisation;Christlich Demokratische Union Deutschlands;47269
2017-08279;2017;167;Waldeck;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8062
2017-08282;2017;167;Waldeck;BL-06;Organisation;Alternative für Deutschland;15438
2017-08324;2017;168;Kassel;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;58759
2017-08328;2017;168;Kassel;BL-06;Organisation;Freie Demokratische Partei;9759
2017-08325;2017;168;Kassel;BL-06;Organisation;DIE LINKE;14472
2017-08327;2017;168;Kassel;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08323;2017;168;Kassel;BL-06;Organisation;Christlich Demokratische Union Deutschlands;44425
2017-08326;2017;168;Kassel;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;15466
2017-08329;2017;168;Kassel;BL-06;Organisation;Alternative für Deutschland;16501
2017-08371;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;54033
2017-08375;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;Freie Demokratische Partei;6594
2017-08372;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;DIE LINKE;7281
2017-08374;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08370;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;Christlich Demokratische Union Deutschlands;39302
2017-08373;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;5236
2017-08376;2017;169;Werra-Meißner – Hersfeld-Rotenburg;BL-06;Organisation;Alternative für Deutschland;16411
2017-08418;2017;170;Schwalm-Eder;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;53892
2017-08422;2017;170;Schwalm-Eder;BL-06;Organisation;Freie Demokratische Partei;9298
2017-08419;2017;170;Schwalm-Eder;BL-06;Organisation;DIE LINKE;7852
2017-08421;2017;170;Schwalm-Eder;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08417;2017;170;Schwalm-Eder;BL-06;Organisation;Christlich Demokratische Union Deutschlands;43514
2017-08420;2017;170;Schwalm-Eder;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8003
2017-08423;2017;170;Schwalm-Eder;BL-06;Organisation;Alternative für Deutschland;17198
2017-08465;2017;171;Marburg;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;50214
2017-08469;2017;171;Marburg;BL-06;Organisation;Freie Demokratische Partei;6044
2017-08466;2017;171;Marburg;BL-06;Organisation;DIE LINKE;11557
2017-08468;2017;171;Marburg;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08464;2017;171;Marburg;BL-06;Organisation;Christlich Demokratische Union Deutschlands;46888
2017-08467;2017;171;Marburg;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8989
2017-08470;2017;171;Marburg;BL-06;Organisation;Alternative für Deutschland;14378
2017-08512;2017;172;Lahn-Dill;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;45375
2017-08516;2017;172;Lahn-Dill;BL-06;Organisation;Freie Demokratische Partei;9590
2017-08513;2017;172;Lahn-Dill;BL-06;Organisation;DIE LINKE;7116
2017-08515;2017;172;Lahn-Dill;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08511;2017;172;Lahn-Dill;BL-06;Organisation;Christlich Demokratische Union Deutschlands;58417
2017-08514;2017;172;Lahn-Dill;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8909
2017-08517;2017;172;Lahn-Dill;BL-06;Organisation;Alternative für Deutschland;17874
2017-08559;2017;173;Gießen;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;46216
2017-08563;2017;173;Gießen;BL-06;Organisation;Freie Demokratische Partei;12641
2017-08560;2017;173;Gießen;BL-06;Organisation;DIE LINKE;10346
2017-08562;2017;173;Gießen;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08558;2017;173;Gießen;BL-06;Organisation;Christlich Demokratische Union Deutschlands;57610
2017-08561;2017;173;Gießen;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;13619
2017-08564;2017;173;Gießen;BL-06;Organisation;Alternative für Deutschland;18918
2017-08606;2017;174;Fulda;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;32150
2017-08610;2017;174;Fulda;BL-06;Organisation;Freie Demokratische Partei;8437
2017-08607;2017;174;Fulda;BL-06;Organisation;DIE LINKE;7669
2017-08609;2017;174;Fulda;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08605;2017;174;Fulda;BL-06;Organisation;Christlich Demokratische Union Deutschlands;71946
2017-08608;2017;174;Fulda;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8874
2017-08611;2017;174;Fulda;BL-06;Organisation;Alternative für Deutschland;27990
2017-08653;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;38462
2017-08657;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;Freie Demokratische Partei;8326
2017-08654;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;DIE LINKE;8007
2017-08656;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08652;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;Christlich Demokratische Union Deutschlands;49479
2017-08655;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;7346
2017-08658;2017;175;Main-Kinzig – Wetterau II – Schotten;BL-06;Organisation;Alternative für Deutschland;20172
2017-08700;2017;176;Hochtaunus;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;33201
2017-08704;2017;176;Hochtaunus;BL-06;Organisation;Freie Demokratische Partei;14954
2017-08701;2017;176;Hochtaunus;BL-06;Organisation;DIE LINKE;8556
2017-08703;2017;176;Hochtaunus;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08699;2017;176;Hochtaunus;BL-06;Organisation;Christlich Demokratische Union Deutschlands;57579
2017-08702;2017;176;Hochtaunus;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;12884
2017-08705;2017;176;Hochtaunus;BL-06;Organisation;Alternative für Deutschland;15075
2017-08747;2017;177;Wetterau I;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;39773
2017-08751;2017;177;Wetterau I;BL-06;Organisation;Freie Demokratische Partei;11047
2017-08748;2017;177;Wetterau I;BL-06;Organisation;DIE LINKE;6719
2017-08750;2017;177;Wetterau I;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08746;2017;177;Wetterau I;BL-06;Organisation;Christlich Demokratische Union Deutschlands;49891
2017-08749;2017;177;Wetterau I;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;11368
2017-08752;2017;177;Wetterau I;BL-06;Organisation;Alternative für Deutschland;14987
2017-08794;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;43427
2017-08798;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;Freie Demokratische Partei;13053
2017-08795;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;DIE LINKE;9394
2017-08797;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08793;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;Christlich Demokratische Union Deutschlands;71555
2017-08796;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;12020
2017-08799;2017;178;Rheingau-Taunus – Limburg;BL-06;Organisation;Alternative für Deutschland;17439
2017-08841;2017;179;Wiesbaden;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;39396
2017-08845;2017;179;Wiesbaden;BL-06;Organisation;Freie Demokratische Partei;9693
2017-08842;2017;179;Wiesbaden;BL-06;Organisation;DIE LINKE;10558
2017-08844;2017;179;Wiesbaden;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08840;2017;179;Wiesbaden;BL-06;Organisation;Christlich Demokratische Union Deutschlands;47309
2017-08843;2017;179;Wiesbaden;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;12321
2017-08846;2017;179;Wiesbaden;BL-06;Organisation;Alternative für Deutschland;14417
2017-08888;2017;180;Hanau;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;40185
2017-08892;2017;180;Hanau;BL-06;Organisation;Freie Demokratische Partei;8418
2017-08889;2017;180;Hanau;BL-06;Organisation;DIE LINKE;7715
2017-08891;2017;180;Hanau;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08887;2017;180;Hanau;BL-06;Organisation;Christlich Demokratische Union Deutschlands;46656
2017-08890;2017;180;Hanau;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8054
2017-08893;2017;180;Hanau;BL-06;Organisation;Alternative für Deutschland;16907
2017-08935;2017;181;Main-Taunus;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;34527
2017-08939;2017;181;Main-Taunus;BL-06;Organisation;Freie Demokratische Partei;17224
2017-08936;2017;181;Main-Taunus;BL-06;Organisation;DIE LINKE;7887
2017-08938;2017;181;Main-Taunus;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08934;2017;181;Main-Taunus;BL-06;Organisation;Christlich Demokratische Union Deutschlands;66490
2017-08937;2017;181;Main-Taunus;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;14458
2017-08940;2017;181;Main-Taunus;BL-06;Organisation;Alternative für Deutschland;15319
2017-08982;2017;182;Frankfurt am Main I;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;38704
2017-08986;2017;182;Frankfurt am Main I;BL-06;Organisation;Freie Demokratische Partei;13185
2017-08983;2017;182;Frankfurt am Main I;BL-06;Organisation;DIE LINKE;13934
2017-08985;2017;182;Frankfurt am Main I;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-08981;2017;182;Frankfurt am Main I;BL-06;Organisation;Christlich Demokratische Union Deutschlands;43663
2017-08984;2017;182;Frankfurt am Main I;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;15596
2017-08987;2017;182;Frankfurt am Main I;BL-06;Organisation;Alternative für Deutschland;12892
2017-09029;2017;183;Frankfurt am Main II;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;44240
2017-09033;2017;183;Frankfurt am Main II;BL-06;Organisation;Freie Demokratische Partei;13877
2017-09030;2017;183;Frankfurt am Main II;BL-06;Organisation;DIE LINKE;15523
2017-09032;2017;183;Frankfurt am Main II;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-09028;2017;183;Frankfurt am Main II;BL-06;Organisation;Christlich Demokratische Union Deutschlands;55221
2017-09031;2017;183;Frankfurt am Main II;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;23026
2017-09034;2017;183;Frankfurt am Main II;BL-06;Organisation;Alternative für Deutschland;13033
2017-09076;2017;184;Groß-Gerau;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;42342
2017-09080;2017;184;Groß-Gerau;BL-06;Organisation;Freie Demokratische Partei;7358
2017-09077;2017;184;Groß-Gerau;BL-06;Organisation;DIE LINKE;8729
2017-09079;2017;184;Groß-Gerau;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-09075;2017;184;Groß-Gerau;BL-06;Organisation;Christlich Demokratische Union Deutschlands;45963
2017-09078;2017;184;Groß-Gerau;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;8877
2017-09081;2017;184;Groß-Gerau;BL-06;Organisation;Alternative für Deutschland;14805
2017-09123;2017;185;Offenbach;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;40106
2017-09127;2017;185;Offenbach;BL-06;Organisation;Freie Demokratische Partei;12420
2017-09124;2017;185;Offenbach;BL-06;Organisation;DIE LINKE;12435
2017-09126;2017;185;Offenbach;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-09122;2017;185;Offenbach;BL-06;Organisation;Christlich Demokratische Union Deutschlands;58565
2017-09125;2017;185;Offenbach;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;14246
2017-09128;2017;185;Offenbach;BL-06;Organisation;Alternative für Deutschland;18047
2017-09170;2017;186;Darmstadt;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;56442
2017-09174;2017;186;Darmstadt;BL-06;Organisation;Freie Demokratische Partei;11739
2017-09171;2017;186;Darmstadt;BL-06;Organisation;DIE LINKE;16146
2017-09173;2017;186;Darmstadt;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-09169;2017;186;Darmstadt;BL-06;Organisation;Christlich Demokratische Union Deutschlands;58216
2017-09172;2017;186;Darmstadt;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;26939
2017-09175;2017;186;Darmstadt;BL-06;Organisation;Alternative für Deutschland;17227
2017-09217;2017;187;Odenwald;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;52761
2017-09221;2017;187;Odenwald;BL-06;Organisation;Freie Demokratische Partei;13139
2017-09218;2017;187;Odenwald;BL-06;Organisation;DIE LINKE;11138
2017-09220;2017;187;Odenwald;BL-06;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-09216;2017;187;Odenwald;BL-06;Organisation;Christlich Demokratische Union Deutschlands;65654
2017-09219;2017;187;Odenwald;BL-06;Organisation;BÜNDNIS 90/DIE GRÜNEN;14181
2017-09222;2017;187;Odenwald;BL-06;Organisation;Alternative für Deutschland;21347
2017-09264;2017;188;Bergstraße;BL-06;Organisation;Sozialdemokratische Partei Deutschlands;41408
2017-09268;2017;188;Bergstraße;BL-06;Organisation;Freie Demokratische Partei;11711
2017-09265;2017;188;Bergstraße;BL-06;Organisation;DIE LINKE;8511
